CVE Number,Description,Example Attack/Impact,Reference
CVE-2021-32677,Insecure handling of the Proxy-Authorization header in FastAPI/Starlette.,Attackers can bypass authentication logic by injecting credentials into proxy headers that are misinterpreted by the app.,"Yang, 2026"
CVE-2022-24765,HTTP Request Smuggling in Starlette's header parsing.,A 'Transfer-Encoding: chunked' header sent along with 'Content-Length' can allow an attacker to smuggle a second request inside the first.,"Yang, 2026"
CVE-2023-29159,Path traversal vulnerability in FastAPI's StaticFiles.,Requesting '/static/../../etc/passwd' might allow reading sensitive system files if not properly jailed.,FastAPI Security Advisories
CVE-2024-24762,Resource Exhaustion (DoS) in multipart form data parsing.,Sending a large number of small parts in a multipart/form-data request to exhaust memory/CPU.,FastAPI Security Advisories
CVE-2020-11001,Improper handling of session cookies leading to fixation/leakage.,"An attacker sets a user's session ID before they log in, allowing the attacker to hijack the session after authentication.",Starlette GitHub
CVE-2023-30798,Incorrect validation of input types in Pydantic models.,"Sending data types that the validator doesn't expect (e.g., extremely deep objects) to trigger crashes or unexpected logic.",Pydantic Advisories
CVE-2021-43788,HTTP Request Smuggling in Hyper (Axum's engine) via header mismatch.,Sending conflicting Content-Length and Transfer-Encoding headers to confuse the proxy/server boundary.,"Stanford, 2026"
CVE-2023-26964,DoS in Hyper via malformed HTTP/2 requests.,"Sending a flood of HTTP/2 HEADERS frames without closing the stream, causing 100% CPU usage.","Stanford, 2026"
CVE-2021-32714,Request Smuggling in Hyper via incorrect whitespace handling.,"Using leading/trailing whitespace in headers (e.g., 'Content-Length : 10') to bypass security filters.","Yang, 2026"
CVE-2021-32715,Host Name Poisoning in Hyper due to missing Host header validation.,Spoofing the Host header to trick the application into generating links to an attacker-controlled site.,"Yang, 2026"
CVE-2024-24576,Command Injection via malformed arguments in Rust (Windows).,"Executing 'cmd.exe /c ""batchfile.bat & calc.exe""' where inputs weren't properly escaped for the shell.",Rust Security
CVE-2024-27308,Memory safety issue in h2 crate (Axum/Hyper).,Sending a specific sequence of HTTP/2 frames that triggers an out-of-bounds access or crash.,h2 Security Advisories
CVE-2022-22965,Spring4Shell: RCE via Class Injection in Data Binding.,Submitting a POST request with parameters like 'class.module.classLoader.resources.context.parent...' to create a web shell.,"Vrije Universiteit Brussel, n.d."
CVE-2023-20860,Security bypass via specially crafted URL in Spring.,"Using a double slash or encoded characters (e.g., '/admin//dashboard') to bypass an antPathMatcher check.","CyberLab, 2026"
CVE-2018-1270,RCE in Spring Messaging via SpEL injection.,"Sending a STOMP message with a 'selector' header containing SpEL like 'T(java.lang.Runtime).getRuntime().exec(""calc"")'.",Spring Security Advisories
CVE-2022-22963,RCE in Spring Cloud Function via routing-expression header.,Providing a malicious SpEL expression in the 'spring.cloud.function.routing-expression' header to execute code.,Spring Security Advisories
CVE-2024-22233,DoS in Spring Framework via specific HTTP request handling.,Sending a crafted request that causes an infinite loop or excessive resource consumption in the framework.,Spring Security Advisories
CVE-2022-22950,Expression injection leading to DoS/leakage in Spring.,Injecting SpEL expressions into application inputs that are subsequently evaluated by the framework.,Spring Security Advisories
CVE-2021-23017,Off-by-one error in Nginx DNS resolver (RCE).,Responding to a DNS query from Nginx with a crafted packet that overflows a buffer when parsed.,ICLR 2026 Workshop
CVE-2019-9511,HTTP/2 'Data Drip' DoS in Nginx.,"Requesting a large file and setting the window size to 1 byte, forcing the server to keep the connection open and consume memory.","Rudd, 2017"
CVE-2019-9513,HTTP/2 'Resource Loop' (Ping-Pong) DoS in Nginx.,"Sending a flood of SETTINGS frames that require an ACK, causing the server to enter a CPU-intensive loop.","Rudd, 2017"
CVE-2013-2028,Stack-based buffer overflow in Nginx chunked encoding.,Sending a chunked request with a massive chunk size to overflow the internal buffer and execute shellcode.,"Rudd, 2017"
CVE-2022-41741,Memory corruption in Nginx mp4 module.,"Uploading a malformed .mp4 file that, when processed by Nginx, causes a crash or code execution.",Nginx Security
CVE-2022-41742,Memory corruption in Nginx mp4 module (variant).,"Similar to 41741, leveraging specific atom parsing in MP4 files to corrupt worker process memory.",Nginx Security
CVE-2021-41773,Path Traversal and RCE in Apache HTTP Server.,Requesting '/cgi-bin/.%2e/.%2e/.%2e/.%2e/etc/passwd' to read files or execute binaries.,"arXiv, 2026"
CVE-2021-42013,Incomplete fix for Apache Path Traversal (double encoding).,Using double-encoded path separators like '%%32%65%%32%65/' to bypass the initial fix for CVE-2021-41773.,"UniTo, 2024"
CVE-2022-22720,HTTP Request Smuggling in Apache (large body limits).,"Sending a request with a body larger than the configured limit, which Apache misinterprets, allowing a smuggled request.",Apache Security
CVE-2022-23943,Heap-based buffer overflow in mod_sed for Apache.,Sending a very large input to a resource handled by mod_sed to trigger a buffer overflow.,Apache Security
CVE-2019-0211,Local Privilege Escalation in Apache parent process.,A script running in a worker process overwrites a scoreboard entry to execute code as the root parent process.,Apache Security
CVE-2021-44790,Buffer overflow in mod_lua multipart parser.,Sending a multipart form request with a crafted boundary string to execute code via mod_lua.,Apache Security
